,time,event
0,0.2533383510256536,0.0
1,0.6313247475296568,3.0
2,0.6325282718997466,0.0
3,0.6740356134785253,4.0
4,0.6935788938625796,3.0
5,0.8809261472655399,4.0
6,1.0355133202093876,1.0
7,1.140554185532171,0.0
8,1.1510627700372258,1.0
9,1.4641414021620192,3.0
10,1.7746322119880986,0.0
11,1.8602932975233624,3.0
12,1.9321024499991903,4.0
13,1.9798962963959372,4.0
14,2.918252418120059,3.0
15,3.1412587544625863,4.0
16,3.2957778846943895,3.0
17,3.954793965501911,3.0
18,4.199410016283845,2.0
19,4.532478627824334,0.0
20,5.762792389776237,2.0
21,6.329424232429183,4.0
22,7.076605313538104,3.0
23,7.126046802212802,4.0
24,7.147626308476723,0.0
25,7.250891817708423,1.0
26,7.471146617959894,4.0
27,7.687304185807104,2.0
28,7.804854151589203,1.0
29,7.821282044891312,4.0
30,7.848343789417967,1.0
31,7.858780406651001,2.0
32,7.955910569016202,1.0
33,8.339234224813625,1.0
34,8.35854052077792,1.0
35,8.807736623094621,0.0
36,8.817536224409793,1.0
37,8.911289989278998,0.0
38,9.149751766248713,2.0
39,9.154965547608684,4.0
40,9.180482676621912,3.0
41,9.28285680172444,3.0
42,9.443829625045494,1.0
43,9.477352415673264,1.0
44,9.51933939543059,4.0
45,9.536189840294899,4.0
46,9.60543738849438,1.0
47,9.706470884657824,3.0
48,9.783985647712875,2.0
49,9.822467474531486,0.0
50,9.92684965301251,4.0
51,9.954088437751773,3.0
52,9.958951479012534,3.0
53,9.98050416694362,4.0
54,10.03724687711734,1.0
55,10.039046197537392,0.0
56,10.05512823638869,4.0
57,10.102125259493542,4.0
58,10.22804795928105,4.0
59,10.321466909379353,4.0
60,10.679161408132826,3.0
61,10.766096089759017,3.0
62,10.783869064847268,0.0
63,10.811556333360613,4.0
64,10.938339617403894,0.0
65,11.058889669158408,2.0
66,11.076955153708596,3.0
67,11.156065246787666,4.0
68,11.190771447135198,2.0
69,11.197021413621254,0.0
70,11.202003816719987,4.0
71,11.38499033057023,4.0
72,11.81601124023527,3.0
73,12.839921545223422,0.0
74,13.008525522570016,3.0
75,13.24691952616748,4.0
76,13.561302439701956,0.0
77,13.713835709579993,0.0
78,13.968737866998437,4.0
79,14.026726377124831,4.0
80,14.069115104733518,2.0
81,14.072457688279126,2.0
82,14.204603841570002,0.0
83,14.268574740715529,3.0
84,14.278581349654594,4.0
85,14.302756401535886,0.0
86,14.38320433700679,0.0
87,14.470710448884834,0.0
88,14.482517683322824,1.0
89,14.483092687426177,3.0
90,14.525643829329075,4.0
91,14.568951054857434,1.0
92,14.588534793519138,3.0
93,14.674489698381914,0.0
94,14.760777469011906,3.0
95,14.826251046765119,1.0
96,14.836848343422261,2.0
97,14.8896705762102,4.0
98,14.903985085868287,1.0
99,14.9060069215571,3.0
100,15.550856567603054,2.0
101,15.747608116362045,2.0
102,15.848489868017769,0.0
103,16.143058051471957,0.0
104,16.21492901358144,2.0
105,16.426367320996363,0.0
106,16.85103994255505,0.0
107,16.937410934140587,2.0
108,16.990778239033354,3.0
109,17.046198159169005,4.0
110,17.43417547329892,3.0
111,17.655929785699126,4.0
112,17.704666300815887,0.0
113,17.838238774737764,2.0
114,17.933778792000385,0.0
115,17.963380093824988,1.0
116,18.057003348744004,3.0
117,18.143793186796387,2.0
118,18.239139078808947,4.0
119,18.3435114539166,4.0
120,18.43134052687105,3.0
121,18.467842216152746,4.0
122,18.622945938885778,3.0
123,19.20811735077399,4.0
124,19.42841860903867,0.0
125,19.474541229122003,1.0
126,19.531866026120376,0.0
127,19.903860989433973,4.0
128,19.948055108234865,1.0
129,19.96677347433784,4.0
