,Unnamed: 0,time,event
0,0,0.0,3
1,1,3.4722222222222224e-14,3
2,2,4.6296296296296295e-14,25
3,3,5.787037037037037e-14,31
4,4,5.787037037037037e-14,36
5,5,5.787037037037037e-14,15
6,6,5.787037037037037e-14,1
7,7,5.787037037037037e-14,11
8,8,8.101851851851852e-14,1
9,9,9.259259259259259e-14,4
10,10,9.259259259259259e-14,12
11,11,9.259259259259259e-14,10
12,12,1.2731481481481483e-13,1
13,13,1.5046296296296297e-13,1
14,14,1.5046296296296297e-13,12
15,15,1.6203703703703704e-13,25
16,16,1.6203703703703704e-13,1
17,17,1.736111111111111e-13,5
18,18,1.736111111111111e-13,11
19,19,1.9675925925925925e-13,1
20,20,2.0833333333333332e-13,4
21,21,2.4305555555555556e-13,1
22,22,2.5462962962962965e-13,21
23,23,2.5462962962962965e-13,18
24,24,2.5462962962962965e-13,1
25,25,2.5462962962962965e-13,11
26,26,2.662037037037037e-13,1
27,27,2.777777777777778e-13,4
28,28,2.777777777777778e-13,1
29,29,2.8935185185185184e-13,25
30,30,3.3564814814814817e-13,24
31,31,3.472222222222222e-13,1
32,32,3.587962962962963e-13,57
33,33,3.7037037037037036e-13,1
34,34,3.8194444444444445e-13,36
35,35,3.935185185185185e-13,25
36,36,4.050925925925926e-13,21
37,37,4.050925925925926e-13,68
38,38,4.050925925925926e-13,1
39,39,4.050925925925926e-13,11
40,40,4.2824074074074074e-13,34
41,41,4.3981481481481483e-13,43
42,42,4.3981481481481483e-13,1
43,43,4.513888888888889e-13,3
44,44,4.629629629629629e-13,3
45,45,4.976851851851852e-13,3
46,46,5.208333333333334e-13,64
47,47,5.208333333333334e-13,3
48,48,5.208333333333334e-13,1
49,49,5.208333333333334e-13,9
50,50,5.324074074074074e-13,15
51,51,5.555555555555556e-13,1
52,52,5.671296296296296e-13,34
53,53,5.671296296296296e-13,18
54,54,5.671296296296296e-13,101
55,55,5.787037037037037e-13,46
56,56,5.787037037037037e-13,15
57,57,5.787037037037037e-13,11
58,58,5.902777777777778e-13,25
59,59,6.018518518518519e-13,1
60,60,6.25e-13,34
61,61,6.25e-13,1
62,62,6.25e-13,12
63,63,6.365740740740741e-13,1
64,64,6.481481481481482e-13,36
65,65,6.481481481481482e-13,25
66,66,6.597222222222222e-13,3
67,67,6.597222222222222e-13,1
68,68,6.712962962962963e-13,4
69,69,6.712962962962963e-13,1
70,70,7.291666666666667e-13,1
71,71,7.407407407407407e-13,36
72,72,7.407407407407407e-13,15
73,73,7.523148148148149e-13,1
74,74,7.638888888888889e-13,1
75,75,7.75462962962963e-13,20
76,76,7.75462962962963e-13,68
77,77,7.87037037037037e-13,21
78,78,7.87037037037037e-13,36
79,79,7.87037037037037e-13,1
80,80,7.986111111111111e-13,4
81,81,7.986111111111111e-13,25
82,82,8.217592592592592e-13,36
83,83,8.217592592592592e-13,1
84,84,8.217592592592592e-13,9
85,85,8.449074074074074e-13,68
86,86,8.449074074074074e-13,1
87,87,8.564814814814815e-13,22
88,88,8.564814814814815e-13,15
89,89,8.564814814814815e-13,24
90,90,8.564814814814815e-13,1
91,91,8.680555555555555e-13,4
92,92,8.680555555555555e-13,1
93,93,9.027777777777778e-13,1
94,94,9.14351851851852e-13,4
95,95,9.14351851851852e-13,15
96,96,9.259259259259258e-13,4
97,97,9.259259259259258e-13,1
98,98,9.375e-13,24
99,99,9.490740740740741e-13,1
100,100,9.60648148148148e-13,80
101,101,9.60648148148148e-13,35
102,102,9.722222222222222e-13,25
103,103,9.722222222222222e-13,1
104,104,9.837962962962964e-13,1
105,105,9.953703703703703e-13,4
106,106,1.0185185185185186e-12,3
107,107,1.0185185185185186e-12,1
108,108,1.0300925925925926e-12,25
109,109,1.0300925925925926e-12,3
110,110,1.0300925925925926e-12,1
111,111,1.0532407407407406e-12,1
112,112,1.099537037037037e-12,22
113,113,1.1111111111111112e-12,52
114,114,1.1226851851851851e-12,34
115,115,1.1226851851851851e-12,25
116,116,1.1226851851851851e-12,1
117,117,1.1342592592592593e-12,7
118,118,1.1458333333333334e-12,4
119,119,1.1574074074074074e-12,21
120,120,1.1574074074074074e-12,1
121,121,1.1689814814814815e-12,86
122,122,1.1805555555555557e-12,34
