,Unnamed: 0,time,event
0,0,0.0,4
1,1,0.0,1
2,2,1.1574074074074074e-14,5
3,3,1.1574074074074074e-14,20
4,4,2.3148148148148147e-14,4
5,5,2.3148148148148147e-14,1
6,6,2.3148148148148147e-14,72
7,7,3.4722222222222224e-14,4
8,8,3.4722222222222224e-14,3
9,9,3.4722222222222224e-14,1
10,10,4.6296296296296295e-14,1
11,11,5.787037037037037e-14,72
12,12,8.101851851851852e-14,23
13,13,8.101851851851852e-14,24
14,14,8.101851851851852e-14,35
15,15,9.259259259259259e-14,23
16,16,9.259259259259259e-14,1
17,17,1.2731481481481483e-13,1
18,18,1.388888888888889e-13,1
19,19,1.8518518518518518e-13,1
20,20,1.9675925925925925e-13,1
21,21,2.0833333333333332e-13,15
22,22,2.0833333333333332e-13,1
23,23,2.1990740740740742e-13,1
24,24,2.3148148148148146e-13,3
25,25,2.5462962962962965e-13,1
26,26,2.662037037037037e-13,1
27,27,2.777777777777778e-13,15
28,28,2.8935185185185184e-13,3
29,29,2.8935185185185184e-13,1
30,30,3.0092592592592594e-13,15
31,31,3.0092592592592594e-13,1
32,32,3.3564814814814817e-13,3
33,33,3.472222222222222e-13,29
34,34,3.472222222222222e-13,1
35,35,3.587962962962963e-13,24
36,36,3.587962962962963e-13,1
37,37,3.7037037037037036e-13,1
38,38,3.8194444444444445e-13,1
39,39,4.1666666666666664e-13,1
40,40,4.2824074074074074e-13,1
41,41,4.513888888888889e-13,1
42,42,4.629629629629629e-13,1
43,43,4.745370370370371e-13,3
44,44,5.208333333333334e-13,1
45,45,5.324074074074074e-13,1
46,46,5.439814814814814e-13,15
47,47,5.439814814814814e-13,1
48,48,5.787037037037037e-13,3
49,49,5.902777777777778e-13,15
50,50,6.018518518518519e-13,1
51,51,6.25e-13,28
52,52,6.25e-13,36
53,53,6.25e-13,3
54,54,6.25e-13,1
55,55,6.481481481481482e-13,39
56,56,6.712962962962963e-13,1
57,57,6.944444444444444e-13,15
58,58,6.944444444444444e-13,1
59,59,7.060185185185185e-13,61
60,60,7.060185185185185e-13,1
61,61,7.175925925925926e-13,1
62,62,7.175925925925926e-13,9
63,63,7.523148148148149e-13,1
64,64,7.75462962962963e-13,1
65,65,7.986111111111111e-13,3
66,66,8.217592592592592e-13,1
67,67,8.333333333333333e-13,1
68,68,8.449074074074074e-13,15
69,69,8.449074074074074e-13,1
70,70,8.680555555555555e-13,1
71,71,9.027777777777778e-13,3
72,72,9.14351851851852e-13,3
73,73,9.259259259259258e-13,15
74,74,9.259259259259258e-13,1
75,75,9.375e-13,1
76,76,9.490740740740741e-13,4
77,77,9.490740740740741e-13,1
78,78,9.60648148148148e-13,3
79,79,9.722222222222222e-13,36
80,80,9.722222222222222e-13,24
81,81,9.722222222222222e-13,9
82,82,9.837962962962964e-13,3
83,83,9.953703703703703e-13,4
84,84,9.953703703703703e-13,1
85,85,1.0069444444444445e-12,1
86,86,1.0300925925925926e-12,3
87,87,1.076388888888889e-12,1
88,88,1.099537037037037e-12,1
89,89,1.1458333333333334e-12,1
90,90,1.1689814814814815e-12,3
91,91,1.1689814814814815e-12,1
92,92,1.1805555555555557e-12,1
93,93,1.1921296296296296e-12,1
94,94,1.238425925925926e-12,3
95,95,1.2731481481481482e-12,3
96,96,1.3078703703703705e-12,1
97,97,1.3194444444444444e-12,1
98,98,1.3310185185185185e-12,15
99,99,1.3310185185185185e-12,1
100,100,1.3425925925925927e-12,15
101,101,1.3425925925925927e-12,1
102,102,1.3541666666666666e-12,1
103,103,1.3657407407407408e-12,43
104,104,1.412037037037037e-12,3
105,105,1.4236111111111111e-12,1
106,106,1.4351851851851853e-12,15
107,107,1.4351851851851853e-12,1
108,108,1.4467592592592592e-12,1
109,109,1.4930555555555556e-12,1
110,110,1.5046296296296297e-12,15
111,111,1.5046296296296297e-12,3
112,112,1.5046296296296297e-12,1
113,113,1.5162037037037037e-12,1
114,114,1.550925925925926e-12,1
115,115,1.5856481481481481e-12,1
116,116,1.6319444444444445e-12,1
117,117,1.6550925925925926e-12,1
118,118,1.6782407407407407e-12,1
119,119,1.712962962962963e-12,1
120,120,1.724537037037037e-12,15
121,121,1.736111111111111e-12,112
122,122,1.736111111111111e-12,1
123,123,1.736111111111111e-12,9
124,124,1.7476851851851852e-12,4
125,125,1.7476851851851852e-12,15
126,126,1.7476851851851852e-12,1
127,127,1.7592592592592593e-12,15
128,128,1.7592592592592593e-12,3
129,129,1.7592592592592593e-12,1
130,130,1.7708333333333333e-12,4
131,131,1.7708333333333333e-12,1
132,132,1.7939814814814816e-12,1
133,133,1.8055555555555555e-12,1
134,134,1.8171296296296297e-12,1
135,135,1.8402777777777778e-12,15
136,136,1.8402777777777778e-12,3
137,137,1.8402777777777778e-12,1
138,138,1.863425925925926e-12,1
139,139,1.9097222222222222e-12,15
140,140,1.9097222222222222e-12,1
141,141,1.921296296296296e-12,15
142,142,1.921296296296296e-12,1
143,143,1.9560185185185184e-12,1
144,144,1.9675925925925928e-12,1
145,145,1.9791666666666667e-12,1
146,146,1.9907407407407406e-12,15
147,147,1.9907407407407406e-12,1
148,148,2.002314814814815e-12,15
149,149,2.0370370370370372e-12,3
150,150,2.0370370370370372e-12,1
151,151,2.048611111111111e-12,3
152,152,2.060185185185185e-12,15
153,153,2.060185185185185e-12,3
154,154,2.060185185185185e-12,1
155,155,2.071759259259259e-12,3
156,156,2.071759259259259e-12,1
