,Unnamed: 0,time,event
0,0,0.0,82
1,1,1.1574074074074074e-14,18
2,2,1.1574074074074074e-14,1
3,3,2.3148148148148147e-14,34
4,4,2.3148148148148147e-14,15
5,5,2.3148148148148147e-14,18
6,6,3.4722222222222224e-14,18
7,7,3.4722222222222224e-14,1
8,8,5.787037037037037e-14,82
9,9,5.787037037037037e-14,3
10,10,5.787037037037037e-14,18
11,11,6.944444444444445e-14,18
12,12,9.259259259259259e-14,82
13,13,1.1574074074074073e-13,34
14,14,2.1990740740740742e-13,3
15,15,2.662037037037037e-13,3
16,16,2.777777777777778e-13,34
17,17,2.777777777777778e-13,18
18,18,2.777777777777778e-13,52
19,19,2.8935185185185184e-13,34
20,20,3.0092592592592594e-13,18
21,21,3.125e-13,34
22,22,3.240740740740741e-13,34
23,23,3.240740740740741e-13,18
24,24,3.240740740740741e-13,1
25,25,3.3564814814814817e-13,52
26,26,3.472222222222222e-13,34
27,27,3.472222222222222e-13,1
28,28,3.587962962962963e-13,4
29,29,3.587962962962963e-13,52
30,30,3.7037037037037036e-13,34
31,31,3.7037037037037036e-13,18
32,32,3.8194444444444445e-13,34
33,33,3.8194444444444445e-13,82
34,34,3.8194444444444445e-13,18
35,35,3.935185185185185e-13,18
36,36,4.513888888888889e-13,82
37,37,4.513888888888889e-13,18
38,38,4.513888888888889e-13,9
39,39,4.629629629629629e-13,34
40,40,4.629629629629629e-13,3
41,41,4.629629629629629e-13,18
42,42,4.745370370370371e-13,34
43,43,4.745370370370371e-13,18
44,44,4.745370370370371e-13,52
45,45,4.861111111111111e-13,34
46,46,4.861111111111111e-13,18
47,47,4.976851851851852e-13,33
48,48,4.976851851851852e-13,18
49,49,4.976851851851852e-13,1
50,50,4.976851851851852e-13,52
51,51,5.092592592592593e-13,18
52,52,5.208333333333334e-13,3
53,53,5.208333333333334e-13,18
54,54,5.324074074074074e-13,3
55,55,5.439814814814814e-13,18
56,56,5.439814814814814e-13,1
57,57,5.555555555555556e-13,34
58,58,5.555555555555556e-13,15
59,59,5.555555555555556e-13,1
60,60,5.555555555555556e-13,11
61,61,5.787037037037037e-13,3
62,62,6.018518518518519e-13,1
63,63,6.134259259259259e-13,34
64,64,6.134259259259259e-13,3
65,65,6.365740740740741e-13,34
66,66,6.365740740740741e-13,1
67,67,6.365740740740741e-13,11
68,68,6.481481481481482e-13,18
69,69,6.481481481481482e-13,1
70,70,6.712962962962963e-13,1
71,71,6.828703703703704e-13,18
72,72,6.944444444444444e-13,1
73,73,7.060185185185185e-13,34
74,74,7.060185185185185e-13,18
75,75,7.175925925925926e-13,34
76,76,7.291666666666667e-13,34
77,77,7.291666666666667e-13,18
78,78,7.407407407407407e-13,18
79,79,7.407407407407407e-13,1
80,80,7.523148148148149e-13,34
81,81,7.523148148148149e-13,3
82,82,7.638888888888889e-13,34
83,83,7.638888888888889e-13,52
