,Unnamed: 0,time,event
0,0,0.0,1
1,1,1.1574074074074074e-14,1
2,2,2.3148148148148147e-14,3
3,3,2.3148148148148147e-14,1
4,4,2.3148148148148147e-14,50
5,5,2.3148148148148147e-14,27
6,6,3.4722222222222224e-14,20
7,7,3.4722222222222224e-14,18
8,8,4.6296296296296295e-14,48
9,9,4.6296296296296295e-14,18
10,10,4.6296296296296295e-14,1
11,11,5.787037037037037e-14,4
12,12,5.787037037037037e-14,15
13,13,5.787037037037037e-14,3
14,14,5.787037037037037e-14,18
15,15,6.944444444444445e-14,1
16,16,8.101851851851852e-14,123
17,17,8.101851851851852e-14,18
18,18,9.259259259259259e-14,2
19,19,1.1574074074074073e-13,15
20,20,1.1574074074074073e-13,18
21,21,1.1574074074074073e-13,1
22,22,1.2731481481481483e-13,15
23,23,1.2731481481481483e-13,3
24,24,1.2731481481481483e-13,18
25,25,1.5046296296296297e-13,18
26,26,1.6203703703703704e-13,20
27,27,1.6203703703703704e-13,46
28,28,1.6203703703703704e-13,1
29,29,1.736111111111111e-13,0
30,30,1.8518518518518518e-13,18
31,31,1.9675925925925925e-13,3
32,32,2.1990740740740742e-13,18
33,33,2.3148148148148146e-13,2
34,34,2.3148148148148146e-13,1
35,35,2.5462962962962965e-13,14
36,36,2.5462962962962965e-13,1
37,37,2.662037037037037e-13,3
38,38,2.777777777777778e-13,11
39,39,2.8935185185185184e-13,18
40,40,2.8935185185185184e-13,10
41,41,3.125e-13,18
42,42,3.125e-13,1
43,43,3.240740740740741e-13,11
44,44,3.472222222222222e-13,64
45,45,3.7037037037037036e-13,15
46,46,3.7037037037037036e-13,2
47,47,3.7037037037037036e-13,1
48,48,3.8194444444444445e-13,0
49,49,4.050925925925926e-13,3
50,50,4.050925925925926e-13,1
51,51,4.1666666666666664e-13,1
52,52,4.2824074074074074e-13,21
53,53,4.2824074074074074e-13,3
54,54,4.2824074074074074e-13,1
55,55,4.3981481481481483e-13,3
56,56,4.745370370370371e-13,1
57,57,4.861111111111111e-13,2
58,58,4.861111111111111e-13,18
59,59,4.976851851851852e-13,15
60,60,5.092592592592593e-13,1
61,61,5.208333333333334e-13,2
62,62,5.324074074074074e-13,18
63,63,5.555555555555556e-13,1
64,64,6.018518518518519e-13,3
65,65,6.25e-13,3
66,66,6.365740740740741e-13,64
67,67,6.365740740740741e-13,1
68,68,6.481481481481482e-13,64
69,69,6.481481481481482e-13,1
70,70,6.712962962962963e-13,4
71,71,6.712962962962963e-13,1
72,72,6.828703703703704e-13,18
73,73,7.291666666666667e-13,3
74,74,7.407407407407407e-13,4
75,75,7.407407407407407e-13,18
